Observed Reentry Date (UTC),Object Name,International Designator,SSN,TLE Epoch (UTC),Aerospace Reentry Prediction (UTC),Aerospace Stated Uncertainty 20% Rule (+/- hrs),Country of Origin,Type,Sighting Location,Sighting Latitude,Sighting Longitude,Debris Recovery Location,Recovery Latitude,Recovery Longitude
N/A,STARLINK-2066,2021-012BF,47673,2025-02-13T05:55:16.651200Z,2025-02-13T11:03:21.220000Z,2.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1961,2021-009Q,47562,2025-02-12T12:32:07.347264Z,2025-02-12T18:31:14.350000Z,2.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1895,2020-088BF,47175,2025-02-11T19:33:35.629344Z,2025-02-12T00:27:13.860000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2398,2021-021BL,47918,2025-02-11T20:56:07.502784Z,2025-02-12T16:56:32Z,5.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1933,2020-074BE,46791,2025-02-11T22:54:21.901824Z,2025-02-12T18:12:45.180000Z,4.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1644,2020-070A,46532,2025-02-12T13:33:10.664928Z,2025-02-12T19:24:47.790000Z,2.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1207,2020-019W,45380,2025-02-11T10:59:30.490656Z,2025-02-11T17:48:36.850000Z,2.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,IRIDIUM 921,1997-034E,24873,2025-02-13T07:51:01.276704Z,2025-02-13T13:10:01.770000Z,2.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,ELECTRON KICK STAGE R/B,2019-054B,44496,2025-02-12T12:25:41.304288Z,2025-02-12T16:12:52.930000Z,1.0,UNITED STATES OF AMERICA,Rocket Body,,,,,,
N/A,STARLINK-2090,2021-012BK,47677,2025-02-12T18:08:31.544160Z,2025-02-15T18:41:41.240000Z,15.0,UNITED STATES OF AMERICA,Payload,,,,,,
